Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,goalHome,goalAway,hwinvalue,awinvalue,count
20230515,Лестер,Ливерпуль,0,2,A,0.0,1.0,0.0,1.0,1
20230514,Арсенал,Брайтон,0,0,D,0.0,0.0,0.5,0.5,1
20230514,Брентфорд,Вест Хэм,2,0,H,1.0,0.0,1.0,0.0,1
20230514,Эвертон,Манчестер Сити,0,2,A,0.0,1.0,0.0,1.0,1
20230513,Астон Вилла,Тоттенхэм,1,0,H,1.0,0.0,1.0,0.0,1
20230513,Кристал Пэлас,Борнмут,1,0,H,1.0,0.0,1.0,0.0,1
20230513,Манчестер Юнайтед,Вулверхэмптон,1,0,H,1.0,0.0,1.0,0.0,1
20230513,Саутгемптон,Фулхэм,0,0,D,0.0,0.0,0.5,0.5,1
20230513,Челси,Ноттингем Форест,0,1,A,0.0,1.0,0.0,1.0,1
20230513,Лидс,Ньюкасл Юнайтед,1,1,D,1.0,1.0,0.5,0.5,1
20230508,Ноттингем Форест,Саутгемптон,3,1,H,1.0,1.0,1.0,0.0,1
20230508,Брайтон,Эвертон,0,3,A,0.0,1.0,0.0,1.0,1
20230508,Фулхэм,Лестер,3,0,H,1.0,0.0,1.0,0.0,1
20230507,Вест Хэм,Манчестер Юнайтед,1,0,H,1.0,0.0,1.0,0.0,1
20230507,Ньюкасл Юнайтед,Арсенал,0,1,A,0.0,1.0,0.0,1.0,1
20230506,Ливерпуль,Брентфорд,1,0,H,1.0,0.0,1.0,0.0,1
20230506,Борнмут,Челси,1,1,D,1.0,1.0,0.5,0.5,1
20230506,Вулверхэмптон,Астон Вилла,1,0,H,1.0,0.0,1.0,0.0,1
20230506,Манчестер Сити,Лидс,2,0,H,1.0,0.0,1.0,0.0,1
20230506,Тоттенхэм,Кристал Пэлас,1,0,H,1.0,0.0,1.0,0.0,1
20230504,Брайтон,Манчестер Юнайтед,0,0,D,0.0,0.0,0.5,0.5,1
20230503,Ливерпуль,Фулхэм,1,0,H,1.0,0.0,1.0,0.0,1
20230503,Манчестер Сити,Вест Хэм,0,0,D,0.0,0.0,0.5,0.5,1
20230502,Арсенал,Челси,3,0,H,1.0,0.0,1.0,0.0,1
20230501,Лестер,Эвертон,2,1,H,1.0,1.0,1.0,0.0,1
20230430,Ливерпуль,Тоттенхэм,3,1,H,1.0,1.0,1.0,0.0,1
20230430,Борнмут,Лидс,2,1,H,1.0,1.0,1.0,0.0,1
20230430,Манчестер Юнайтед,Астон Вилла,1,0,H,1.0,0.0,1.0,0.0,1
20230430,Ньюкасл Юнайтед,Саутгемптон,0,1,A,0.0,1.0,0.0,1.0,1
20230430,Фулхэм,Манчестер Сити,1,2,A,1.0,1.0,0.0,1.0,1
20230429,Брайтон,Вулверхэмптон,4,0,H,1.0,0.0,1.0,0.0,1
20230429,Брентфорд,Ноттингем Форест,0,1,A,0.0,1.0,0.0,1.0,1
20230429,Кристал Пэлас,Вест Хэм,3,2,H,1.0,1.0,1.0,0.0,1
20230427,Тоттенхэм,Манчестер Юнайтед,0,2,A,0.0,1.0,0.0,1.0,1
20230427,Саутгемптон,Борнмут,0,0,D,0.0,0.0,0.5,0.5,1
20230427,Эвертон,Ньюкасл Юнайтед,0,1,A,0.0,1.0,0.0,1.0,1
20230426,Манчестер Сити,Арсенал,2,0,H,1.0,0.0,1.0,0.0,1
20230426,Вест Хэм,Ливерпуль,1,1,D,1.0,1.0,0.5,0.5,1
20230426,Челси,Брентфорд,0,1,A,0.0,1.0,0.0,1.0,1
20230426,Ноттингем Форест,Брайтон,1,1,D,1.0,1.0,0.5,0.5,1
20230425,Лидс,Лестер,1,0,H,1.0,0.0,1.0,0.0,1
20230425,Астон Вилла,Фулхэм,1,0,H,1.0,0.0,1.0,0.0,1
20230425,Вулверхэмптон,Кристал Пэлас,1,0,H,1.0,0.0,1.0,0.0,1
20230423,Борнмут,Вест Хэм,0,3,A,0.0,1.0,0.0,1.0,1
20230423,Ньюкасл Юнайтед,Тоттенхэм,5,0,H,1.0,0.0,1.0,0.0,1
20230422,Брентфорд,Астон Вилла,0,0,D,0.0,0.0,0.5,0.5,1
20230422,Кристал Пэлас,Эвертон,0,0,D,0.0,0.0,0.5,0.5,1
20230422,Лестер,Вулверхэмптон,1,1,D,1.0,1.0,0.5,0.5,1
20230422,Ливерпуль,Ноттингем Форест,0,0,D,0.0,0.0,0.5,0.5,1
20230422,Фулхэм,Лидс,0,0,D,0.0,0.0,0.5,0.5,1
20230421,Арсенал,Саутгемптон,1,2,A,1.0,1.0,0.0,1.0,1
20230417,Лидс,Ливерпуль,0,2,A,0.0,1.0,0.0,1.0,1
20230416,Ноттингем Форест,Манчестер Юнайтед,0,1,A,0.0,1.0,0.0,1.0,1
20230416,Вест Хэм,Арсенал,1,2,A,1.0,1.0,0.0,1.0,1
20230415,Манчестер Сити,Лестер,3,0,H,1.0,0.0,1.0,0.0,1
