team,Ph1,Ph2,hwinvalue1,hwinvalue2,goalHome1,goalHome2,FTHGh1,FTHGh2,meanGoal1,meanGoal2,goalHome1 %,goalHome2 %,"wpc1, %","wpc2, %","pyth1, %","pyth2, %"
Арсенал,7,11,5.0,6.5,5.0,7.0,7,11,1.0,1.0,70.0,60.0,80.0,60.0,90.0,80.0
Астон Вилла,8,10,5.0,7.5,4.0,8.0,7,10,0.875,1.0,50.0,80.0,40.0,60.0,50.0,50.0
Борнмут,9,9,4.0,4.0,3.0,5.0,4,6,0.4444444444444444,0.6666666666666666,30.0,60.0,40.0,40.0,10.0,20.0
Брайтон,8,9,3.5,5.5,3.0,4.0,6,8,0.75,0.8888888888888888,40.0,40.0,50.0,60.0,60.0,70.0
Брентфорд,8,10,5.0,7.5,4.0,7.0,8,10,1.0,1.0,50.0,70.0,50.0,60.0,50.0,80.0
Вест Хэм,9,9,3.0,5.0,4.0,8.0,4,9,0.4444444444444444,1.0,40.0,90.0,30.0,50.0,10.0,60.0
Вулверхэмптон,9,9,4.5,6.5,3.0,5.0,4,6,0.4444444444444444,0.6666666666666666,30.0,60.0,50.0,50.0,30.0,40.0
Кристал Пэлас,8,10,3.0,5.5,4.0,2.0,4,4,0.5,0.4,50.0,20.0,50.0,40.0,60.0,20.0
Лестер,8,10,4.5,4.0,3.0,6.0,6,9,0.75,0.9,40.0,60.0,60.0,30.0,60.0,20.0
Ливерпуль,9,9,5.0,6.5,6.0,6.0,13,8,1.4444444444444444,0.8888888888888888,70.0,70.0,50.0,60.0,70.0,70.0
Лидс,8,10,2.5,5.5,4.0,6.0,5,7,0.625,0.7,50.0,60.0,40.0,40.0,30.0,30.0
Манчестер Сити,9,9,7.0,7.0,8.0,7.0,17,13,1.8888888888888888,1.4444444444444444,90.0,80.0,70.0,70.0,90.0,90.0
Манчестер Юнайтед,7,10,5.0,8.0,4.0,7.0,5,7,0.7142857142857143,0.7,60.0,70.0,60.0,70.0,40.0,90.0
Ноттингем Форест,9,9,5.0,4.5,5.0,6.0,6,8,0.6666666666666666,0.8888888888888888,60.0,70.0,40.0,50.0,20.0,50.0
Ньюкасл Юнайтед,9,8,6.5,3.5,4.0,3.0,6,7,0.6666666666666666,0.875,40.0,40.0,70.0,40.0,100.0,50.0
Саутгемптон,8,10,3.5,4.0,2.0,2.0,3,2,0.375,0.2,20.0,20.0,30.0,40.0,10.0,30.0
Тоттенхэм,9,9,4.0,5.0,4.0,5.0,6,6,0.6666666666666666,0.6666666666666666,40.0,60.0,50.0,50.0,40.0,30.0
Фулхэм,9,9,5.0,3.5,5.0,4.0,6,6,0.6666666666666666,0.6666666666666666,60.0,40.0,50.0,40.0,40.0,40.0
Челси,7,11,5.0,3.5,3.0,1.0,4,1,0.5714285714285714,0.09090909090909091,40.0,10.0,60.0,30.0,60.0,10.0
Эвертон,8,10,3.0,4.5,3.0,3.0,3,3,0.375,0.3,40.0,30.0,40.0,40.0,20.0,30.0
