team,Ph1,hwinvalue1,goalHome1,FTHGh1,FTAGh1,goalHome1 %,Pa1,awinvalue1,goalAway1,FTHGa1,FTAGa1,goalAway1 %,W1,G1,GF1,GA1,"wpc1, %","pyth1, %",Ph2,hwinvalue2,goalHome2,FTHGh2,FTAGh2,goalHome2 %,Pa2,awinvalue2,goalAway2,FTHGa2,FTAGa2,goalAway2 %,W2,G2,GF2,GA2,"wpc2, %","pyth2, %",meanGoal1,meanGoal2
Арсенал,8,3.0,3.0,4,5,40.0,8,2.5,3.0,7,3,40.0,5.5,16,7,12,30.0,30.0,11,6.0,3.0,6,2,30.0,11,8.0,10.0,8,13,90.0,14.0,22,19,10,60.0,80.0,0.5,0.5454545454545454
Астон Вилла,7,3.5,2.0,5,5,30.0,8,4.5,4.0,3,5,50.0,8.0,15,10,8,50.0,60.0,12,6.5,6.0,7,6,50.0,11,8.0,7.0,4,9,60.0,14.5,23,16,10,60.0,70.0,0.7142857142857143,0.5833333333333334
Брайтон,8,4.0,3.0,3,3,40.0,8,3.5,4.0,7,5,50.0,7.5,16,8,10,50.0,40.0,11,6.0,5.0,5,5,50.0,11,6.0,5.0,4,5,50.0,12.0,22,10,9,50.0,60.0,0.375,0.45454545454545453
Бёрнли,7,4.0,4.0,4,3,60.0,8,2.5,1.0,6,1,10.0,6.5,15,5,9,40.0,20.0,12,3.5,4.0,4,10,30.0,11,5.5,5.0,9,11,50.0,9.0,23,15,19,40.0,40.0,0.5714285714285714,0.3333333333333333
Вест Бромвич,8,4.0,3.0,5,6,40.0,8,1.0,2.0,9,2,20.0,5.0,16,7,15,30.0,20.0,11,4.5,5.0,6,11,50.0,11,3.5,4.0,13,5,40.0,8.0,22,11,24,40.0,20.0,0.625,0.5454545454545454
Вест Хэм,8,4.5,4.0,4,3,50.0,9,4.0,4.0,7,5,40.0,8.5,17,9,10,50.0,40.0,11,8.5,8.0,13,3,70.0,10,6.0,5.0,7,9,50.0,14.5,21,22,10,70.0,80.0,0.5,1.1818181818181819
Вулверхэмптон,8,3.5,1.0,2,3,10.0,8,3.0,2.0,5,4,20.0,6.5,16,6,8,40.0,40.0,11,3.5,5.0,6,13,50.0,11,5.0,2.0,4,4,20.0,8.5,22,10,17,40.0,30.0,0.25,0.5454545454545454
Кристал Пэлас,8,4.0,4.0,6,7,50.0,8,4.0,4.0,5,4,50.0,8.0,16,10,12,50.0,40.0,11,4.0,4.0,5,10,40.0,11,6.0,6.0,6,7,50.0,10.0,22,12,16,50.0,40.0,0.75,0.45454545454545453
Лестер,8,3.5,4.0,6,7,50.0,8,4.5,4.0,4,5,50.0,8.0,16,11,11,50.0,50.0,11,6.0,7.0,10,7,60.0,11,5.0,4.0,6,6,40.0,11.0,22,16,13,50.0,60.0,0.75,0.9090909090909091
Ливерпуль,8,6.5,8.0,12,6,100.0,8,3.5,4.0,7,6,50.0,10.0,16,18,13,60.0,70.0,11,5.0,3.0,3,4,30.0,11,7.5,6.0,3,7,50.0,12.5,22,10,7,60.0,70.0,1.5,0.2727272727272727
Лидс,8,4.0,4.0,5,6,50.0,8,3.0,5.0,11,9,60.0,7.0,16,14,17,40.0,40.0,11,5.0,4.0,6,7,40.0,11,5.0,5.0,10,5,50.0,10.0,22,11,17,50.0,30.0,0.625,0.5454545454545454
Манчестер Сити,7,5.5,7.0,10,3,100.0,7,4.5,4.0,2,5,60.0,10.0,14,15,5,70.0,90.0,12,9.0,9.0,12,4,80.0,12,9.0,8.0,4,16,70.0,18.0,24,28,8,80.0,90.0,1.4285714285714286,1.0
Манчестер Юнайтед,9,4.5,3.0,6,6,30.0,7,3.5,5.0,8,7,70.0,8.0,16,13,14,50.0,50.0,10,5.0,6.0,10,6,60.0,12,6.0,4.0,5,5,30.0,11.0,22,15,11,50.0,70.0,0.6666666666666666,1.0
Ньюкасл Юнайтед,8,3.5,3.0,3,5,40.0,7,2.0,1.0,4,1,10.0,5.5,15,4,9,40.0,20.0,11,5.0,6.0,10,9,50.0,12,4.5,3.0,8,4,20.0,9.5,23,14,17,40.0,40.0,0.375,0.9090909090909091
Саутгемптон,8,6.0,6.0,8,2,80.0,8,4.5,5.0,4,7,60.0,10.5,16,15,6,70.0,90.0,11,6.5,8.0,9,7,70.0,11,2.5,4.0,17,4,40.0,9.0,22,13,24,40.0,20.0,1.0,0.8181818181818182
Тоттенхэм,7,5.5,5.0,8,1,70.0,8,5.5,5.0,3,8,60.0,11.0,15,16,4,70.0,90.0,12,7.0,8.0,11,6,70.0,11,5.5,8.0,9,10,70.0,12.5,23,21,15,50.0,70.0,1.1428571428571428,0.9166666666666666
