homeScheduled,awayScheduled,LeageuNum
Бетис,Валенсия,1
Вальядолид,Хетафе,1
Сельта,Барселона,1
Эльче,Кадис,1
Эспаньол,Альмерия,1
Аталанта,Монца,1
Лечче,Болонья,2
Милан,Верона,2
Рома,Специя,2
Удинезе,Ювентус,2
Годой Крус,Индепендьенте,
Гильермо Браун,Химнасия Мендоса,
Сан-Тельмо,Депортиво Морон,
Дефенсорес Юнидос,Альварадо,
Сан-Мартин Сан-Хуан,Фландрия,
Спортиво Лас-Парехас,Деф. Пронунсиаменто,
Хувентуд Унида Университарио,Сьюдад Боливар,
Индепендьенте Чивилькой,Дефенсорес Бельграно,
Химнасия Е.Р.,Спортиво Бельграно,
Дуглас Хаиг,Унион Сунчалес,
Biblioteca Atenas,Ферро Хенераль Пико,
Крусеро Дель Норте,Формоса,
Сан-Мартин Формоса,Централ Норте,
Уракан Лас-Эрас,Спортиво Эстудиантес,
Химнасия и Тиро,9 de Julio Rafaela,
Вилла Митре,Херминал,
Сан-Мартин Мендоса,Аргентино ММ,
Архентино де Кильмес,Архентино де Мерло,
Депортиво Мерло,Докк Суд,
Комуникасьонес,Кануэлас,
Лос Андес,Акасусо,
Атлас,Спортиво Итальяно,
Лаферрере,Реал Пилар,
Сан-Мартин Бурсако,Сентраль Кордоба,
Хенераль Ламадрид,Хусто Хосе де Уркиса,
Ривер Плейт (Ж),Уракан (Ж),
Британниа,Депортиво Насьональ,
Аль-Ахли,Видад,
Антверпен (Б),Серкль Брюгге 2,
Айема,АС Котону,
Драгонс,АСПАК,
Рекинс,АСВО,
ФК Котон,JAK,
Санта Круз,Индепендьенте Петрольерос,
Pasion Celeste,Real Mizque,
Universidad Crucena,Сьюдад Нуэва,
Huayna Potosi Palcoco,Academia del Balompie,
CM Poopo,Real Oruro,
Enrique Happ,СА Було-Було,
River 66,24 de Septiembre,
Гарсия Агреда,Atletico Bermejo,
Росарио Сентраль,Стормерс,
Гремио,Сан-Паулу,
Флуминенсе,Брагантино,
Гуарани,Регатас,
Ботафого ПБ,Флореста,
Пайсанду,Сан-Жозе,
Конкордия,Эрсилиу Луж,
Туна Лушо,Агуя ди Мараба,
Глобо,Iguatu,
Бразил де Пелотас,Айморе,
Демократа ГВ,Реал Нороэсте,
Жакуипенсе,Ретро,
Каукая,Токантинополис,
Насьональ-АМ,Сан-Раймундо РР,
Сантос АП,Macapa,
Витория да Конкиста,Юнирб,
Галисия,Grapiuna,
Жакобина,Jequie,
Colo C.,Leonico,
Флуминенсе де Фейра,Жуазейру,
Cacador,Carlos Renaux,
Метрополитано,Santa Catarina,
Гаучо,Пасу-Фунду,
Интер Санта-Мария,Сан-Габриэл,
Лажеаденсе,Санта Круз РС,
Бразил Фаррупилья,Фредерикоэнсе,
Гуарани Б.,Баже,
Apucarana SC,Araucaria,
Толеду,Andraus,
Gremio Maringa,Патриотас,
Атлетико Минейро (Ж),Реал Арикемес (Ж),
Алагоана (Ж),Брагантино (Ж),
Нуэва Эспарта,Хероес Фалькон,
Miranda,Урена,
Трухильянос,Боливар,
Фронтера,Маритиму,
Маримоо,Стив Бико,
Атлантико,Дельфинес Дель Эсте,
Аль-Талаба,Аль-Кува Аль-Джавия,
Лекко,Чезена,
Фоджа,Пескара,
Жувентуде,Santo Crucifixo,
Минделенше,Travadores,
Палмейра,Champions Fogo,
Фигейренсе,Mindelo,
Morabeza,Varandinha,
Sanjoanenses,Belo Horizonte,
Валур,Йорк Юнайтед,
Шеминот,Натали,
КАРА Браззавиль,Диаблес Нуар,
